id,sessionid,watersenid,content,sentiment_key
0,00029c51f92e8f34250d6af329c9a8df,0,什么时候能发货啊，得等多久啊，我家狗狗等着吃饭呢,0
1,00029c51f92e8f34250d6af329c9a8df,1,这款商品库房还没有到货,1
2,00029c51f92e8f34250d6af329c9a8df,0,什么时候能到货啊,1
3,00029c51f92e8f34250d6af329c9a8df,1,可以给您操作有货的先发,1
4,00029c51f92e8f34250d6af329c9a8df,0,零食那个有货吗，狗粮一袋都没有么，有的话都给我先发吧,0
5,00029c51f92e8f34250d6af329c9a8df,1,您的订单现在是两个订单，建议您关注一下订单的物流信息哈,2
6,00029c51f92e8f34250d6af329c9a8df,0,狗粮啥时候能有货,1
7,00029c51f92e8f34250d6af329c9a8df,1,预计一周左右,1
8,00029c51f92e8f34250d6af329c9a8df,0,好吧，希望快发货,2
9,00029c51f92e8f34250d6af329c9a8df,1,请问还有其他还可以帮到您的吗,2
11,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲爱的，耽误您的使用了非常抱歉哈,2
12,0006f1fe48ba77fa7f42b0acab6e2fad,0,我这个一直没有配送信息，着急用，我可以退货吗,0
13,0006f1fe48ba77fa7f42b0acab6e2fad,1,如果您着急使用，可以取消订单哦,2
14,0006f1fe48ba77fa7f42b0acab6e2fad,0,另外我再拍一个别的牌子气筒，显示明天送到，您那能查是否能及配送吗,1
15,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲爱的，还麻烦您提供下订单号，妹子这边给您查询哦,2
16,0006f1fe48ba77fa7f42b0acab6e2fad,0,算了我不退了，估计也就这两天到，再拍不到也麻烦，但是我申请退款了，怎么恢复呢,1
17,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲，实在抱歉，让您久等了，亲，退款申请是无法取消的，系统已经下发拦截了，这个如没有拦截到，正常签收就行呢,1
18,0006f1fe48ba77fa7f42b0acab6e2fad,0,知道了,1
19,0006f1fe48ba77fa7f42b0acab6e2fad,1,妹子这边也会帮您跟进直到您签收为止哦，还请您放心哈非常抱歉，耽误您的了，这次给您添麻烦了，其实，我们也挺不好意思,2
20,0006f1fe48ba77fa7f42b0acab6e2fad,0,"好的，麻烦您也帮忙备注下,不取消订单了，买了很多次东西，第一次遇到这种情况",1
21,0006f1fe48ba77fa7f42b0acab6e2fad,1,只要您的商品到，咱们这边会帮您通知的哦，还请您及关注物流信息哦,2
22,0006f1fe48ba77fa7f42b0acab6e2fad,0,好的，明白啦，谢谢,2
23,0006f1fe48ba77fa7f42b0acab6e2fad,1,您客气了，为您服务是小妹的荣幸呢,2
25,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲爱哒，来都来了，用你发财的小手给我一个评价吧，谢谢,2
26,000a6c4feb94f14c8b5850698aa737df,0,"您好申请退款了,什么能退回",1
27,000a6c4feb94f14c8b5850698aa737df,1,小妹为您看看，您稍等哦，请问您订单支付的银行卡，是普通储蓄卡，还是信用卡呢,1
28,000a6c4feb94f14c8b5850698aa737df,0,信用卡,1
29,000a6c4feb94f14c8b5850698aa737df,1,"一般都是原路返回哦，信用卡银行卡个工作日京东处理个工作日,剩余银行到账周期实际到账周期以银行为准哦，请您等下了哦",2
30,000a6c4feb94f14c8b5850698aa737df,0,可以了谢谢,2
31,000a6c4feb94f14c8b5850698aa737df,1,您客气了哦，这是小妹应该做的哦，麻烦给小妹一个评价啦您的支持是我最大的动力呢,2
34,000afe94d4e83c130a68bf4bc1a57fc2,0,我申请的价保啥候退款，退到哪里的,1
35,000afe94d4e83c130a68bf4bc1a57fc2,1,之前订单吗，差价原路返回您付款方式，一个工作日到账,1
36,000afe94d4e83c130a68bf4bc1a57fc2,0,好的,1
37,000afe94d4e83c130a68bf4bc1a57fc2,1,请问还有其他还可以帮到您的吗,2
38,000afe94d4e83c130a68bf4bc1a57fc2,0,没了，谢谢,2
39,001403e3aee03d4b22dd08373c6fe1a7,0,我上次买了一块手表，每天都会快分钟是什么情况呢，是不是这个手表有问题呢,0
40,001403e3aee03d4b22dd08373c6fe1a7,1,亲爱的客户，还麻烦您提供下订单号，妹子这边给您查询哦,2
41,001403e3aee03d4b22dd08373c6fe1a7,0,这个是订单编号,1
42,001403e3aee03d4b22dd08373c6fe1a7,1,恩亲好的,1
43,001403e3aee03d4b22dd08373c6fe1a7,0,确认一下是什么情况，为什么每天都会快这么多,0
44,001403e3aee03d4b22dd08373c6fe1a7,1,请不要在晚上到凌晨调整，因手表均采用慢跳的方式在这个段内进行跳转，此内机心在运转过程中，在此段内调整容易照成手表损坏和日期跳转不正确的情况,1
45,001403e3aee03d4b22dd08373c6fe1a7,0,我先看看吧，除了这个段不能调整，其他都可以吧,1
46,001403e3aee03d4b22dd08373c6fe1a7,1,可以的哦亲亲,2
47,001403e3aee03d4b22dd08373c6fe1a7,0,好的，谢谢,2
48,001694e83e741a04c27f368cebe47bdf,0,请问一下，我买了四条轮胎，但是订单留的手机号不是在用这个手机号，我忘记修改了，到店安装需要验证码，我没有,1
49,001694e83e741a04c27f368cebe47bdf,1,那您需要自己击订单详情查看，或是商品页面联系商家商家给您处理下的,1
50,001694e83e741a04c27f368cebe47bdf,0,订单详情里面只有四个消费码没有验证码，商家说找京东客服，人工服务有电话吗我打电话咨询一下,1
51,001694e83e741a04c27f368cebe47bdf,1,消费码就是安装验证码，就是那四个消费码,1
52,001694e83e741a04c27f368cebe47bdf,0,输进去了，不对,0
53,001694e83e741a04c27f368cebe47bdf,1,不用输入直接给安装门店的工作人员就行,1
54,001694e83e741a04c27f368cebe47bdf,0,工作人员说不行啊，搞得我现在很尴尬,0
55,001694e83e741a04c27f368cebe47bdf,1,正在查看,1
56,001694e83e741a04c27f368cebe47bdf,0,已解决，是老板自己年纪大了，对这些不太懂，谢谢客服,2
57,001694e83e741a04c27f368cebe47bdf,1,不客气的，也辛苦您了,2
58,001d5f3856178091933bf493ea5083e2,0,所买货大约几天会到,1
59,001d5f3856178091933bf493ea5083e2,1,亲，厂家送货经常快递没有信息，但是实际已发货，预计的配送是个工作日哦5,2
60,001d5f3856178091933bf493ea5083e2,0,哦，知道啦谢谢,2
61,001d5f3856178091933bf493ea5083e2,1,您客气了，为您服务是小妹的荣幸呢,2
63,001f3c35add2db91e9cbc3336247c8d5,0,你好请问我这个要自己承担运费吗,1
64,001f3c35add2db91e9cbc3336247c8d5,1,亲您是要,1
65,001f3c35add2db91e9cbc3336247c8d5,0,退货，台灯按钮不灵敏,0
66,001f3c35add2db91e9cbc3336247c8d5,1,商品质量问题吗，亲这个的话不需要您承担运费的，建议您先申请售后的呢,2
67,001f3c35add2db91e9cbc3336247c8d5,0,售后上门取件需要我付钱吗,1
68,001f3c35add2db91e9cbc3336247c8d5,1,不需要的亲亲，咱们京东商品质量问题的话，不需要您出运费的,1
69,001f3c35add2db91e9cbc3336247c8d5,0,好的，谢谢，没了，要评价吗,2
70,001f3c35add2db91e9cbc3336247c8d5,1,妹子怠慢的方，您多多包含哦，辛苦您击聊天框中的给我一个评价哦，妹子期待再次为您服务,2
71,002e962341d6097d02c81e574d739234,0,下了单，东西缺货，补货一般需要多久，为什么买之前没提示,0
72,002e962341d6097d02c81e574d739234,1,商品是预定的预定的商品预计天到货,1
73,002e962341d6097d02c81e574d739234,0,是七天内发货，还是七天内，东西能送到,1
74,002e962341d6097d02c81e574d739234,1,天内到货到货后给您发货去,1
75,002e962341d6097d02c81e574d739234,0,到货是到哪儿了，到货从哪儿发货，北京吗,1
76,002e962341d6097d02c81e574d739234,1,乌鲁木齐发货的,1
77,002e962341d6097d02c81e574d739234,0,好的，谢谢,2
78,002e962341d6097d02c81e574d739234,1,不客气的,2
79,002e962341d6097d02c81e574d739234,0,没有了，谢谢,2
82,003cd4f5e4203b5da3295173693d6a06,0,我买的酒壶盖子坏了，后来售后送来次都是坏的，怎么办，我已经再次申请换货了,1
83,003cd4f5e4203b5da3295173693d6a06,1,换新的还是有问题是吗，建议您考虑商品的退呢,1
84,003cd4f5e4203b5da3295173693d6a06,0,送来次都是盖子坏的,0
85,003cd4f5e4203b5da3295173693d6a06,1,很抱歉给您带来不便,2
86,003cd4f5e4203b5da3295173693d6a06,0,只能看看明天送来的坏不坏了对么,1
87,003cd4f5e4203b5da3295173693d6a06,1,给您带来不便了亲，您关注下哈,2
88,003cd4f5e4203b5da3295173693d6a06,0,嗯嗯,1
91,003d1ec8cdcf8e1fdc4fdce1c9dd492c,0,我昨天买了一个水杯，我买错了想退掉，想请问一下我用的京东卡会退回来吗，我有一个块钱的京东卡，然后我现在退单的候这个卡能不能退回来,1
92,003d1ec8cdcf8e1fdc4fdce1c9dd492c,1,会退的,1
93,003d1ec8cdcf8e1fdc4fdce1c9dd492c,0,那我需要所有产品都退掉，还是可以只退保温杯即可，因为我昨天一共下单了三个产品，是否需要都退掉,1
94,003d1ec8cdcf8e1fdc4fdce1c9dd492c,1,商品收到了吗,1
95,003d1ec8cdcf8e1fdc4fdce1c9dd492c,0,收到了,1
96,003d1ec8cdcf8e1fdc4fdce1c9dd492c,1,单独退就可以了,1
97,003d1ec8cdcf8e1fdc4fdce1c9dd492c,0,好的，那单独退单保温杯京东卡可以退多少钱呀，我用的元京东卡，那单独退单保温杯京东卡可以退多少钱呀,1
98,003d1ec8cdcf8e1fdc4fdce1c9dd492c,1,请您稍等，小妹正在查询中,1
99,003d1ec8cdcf8e1fdc4fdce1c9dd492c,0,好的，麻烦尽快吧，谢谢,2
100,003d1ec8cdcf8e1fdc4fdce1c9dd492c,1,请问还有其他还可以帮到您的吗,2
111,003ec4a2042db6fe4aba1b81ff764f9b,1,会在个工作日处理的哈，亲因为什么原因呢，我在给您发一遍邮箱，给您督促处理,2
112,003ec4a2042db6fe4aba1b81ff764f9b,0,好的，因为门店太少了不方便,1
113,003ec4a2042db6fe4aba1b81ff764f9b,1,好的车子的型号您提供一下,1
114,003ec4a2042db6fe4aba1b81ff764f9b,0,大众,1
115,003ec4a2042db6fe4aba1b81ff764f9b,1,好的，我给您在督促一下哈,2
116,003ec4a2042db6fe4aba1b81ff764f9b,0,好的谢谢,2
117,003ec4a2042db6fe4aba1b81ff764f9b,1,您客气了哈，处理效个工作日，退款成功您会收到短信提示的哈,2
118,003ec4a2042db6fe4aba1b81ff764f9b,0,那应该能成功的是吧，好的没啥了谢谢,2
119,003ec4a2042db6fe4aba1b81ff764f9b,1,您客气了哈,2
120,0040369daa067f8700749195ffd0a5d3,0,我要咨询其他问题，我没有收到铝合金气门，就一个轮胎,0
121,0040369daa067f8700749195ffd0a5d3,1,亲爱的客户，还麻烦您提供下订单号，妹子这边给您查询哦，您收到几个包裹呢,2
