id,sessionid,watersenid,content,sentiment_key,positive_probs
0,00029c51f92e8f34250d6af329c9a8df,0,什么时候能发货啊，得等多久啊，我家狗狗等着吃饭呢,0,0.4428
1,00029c51f92e8f34250d6af329c9a8df,1,这款商品库房还没有到货,1,0.1025
2,00029c51f92e8f34250d6af329c9a8df,0,什么时候能到货啊,1,0.5333
3,00029c51f92e8f34250d6af329c9a8df,1,可以给您操作有货的先发,1,0.7775
4,00029c51f92e8f34250d6af329c9a8df,0,零食那个有货吗，狗粮一袋都没有么，有的话都给我先发吧,0,0.3415
5,00029c51f92e8f34250d6af329c9a8df,1,您的订单现在是两个订单，建议您关注一下订单的物流信息哈,2,0.6124
6,00029c51f92e8f34250d6af329c9a8df,0,狗粮啥时候能有货,1,0.768
7,00029c51f92e8f34250d6af329c9a8df,1,预计一周左右,1,0.486
8,00029c51f92e8f34250d6af329c9a8df,0,好吧，希望快发货,2,0.5676
9,00029c51f92e8f34250d6af329c9a8df,1,请问还有其他还可以帮到您的吗,2,0.405
11,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲爱的，耽误您的使用了非常抱歉哈,2,0.5761
12,0006f1fe48ba77fa7f42b0acab6e2fad,0,我这个一直没有配送信息，着急用，我可以退货吗,0,0.0171
13,0006f1fe48ba77fa7f42b0acab6e2fad,1,如果您着急使用，可以取消订单哦,2,0.5515
14,0006f1fe48ba77fa7f42b0acab6e2fad,0,另外我再拍一个别的牌子气筒，显示明天送到，您那能查是否能及配送吗,1,0.0835
15,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲爱的，还麻烦您提供下订单号，妹子这边给您查询哦,2,0.9489
16,0006f1fe48ba77fa7f42b0acab6e2fad,0,算了我不退了，估计也就这两天到，再拍不到也麻烦，但是我申请退款了，怎么恢复呢,1,0.0198
17,0006f1fe48ba77fa7f42b0acab6e2fad,1,亲，实在抱歉，让您久等了，亲，退款申请是无法取消的，系统已经下发拦截了，这个如没有拦截到，正常签收就行呢,1,0.0079
18,0006f1fe48ba77fa7f42b0acab6e2fad,0,知道了,1,0.5189
19,0006f1fe48ba77fa7f42b0acab6e2fad,1,妹子这边也会帮您跟进直到您签收为止哦，还请您放心哈非常抱歉，耽误您的了，这次给您添麻烦了，其实，我们也挺不好意思,2,0.8811
20,0006f1fe48ba77fa7f42b0acab6e2fad,0,"好的，麻烦您也帮忙备注下,不取消订单了，买了很多次东西，第一次遇到这种情况",1,0.4462
21,0006f1fe48ba77fa7f42b0acab6e2fad,1,只要您的商品到，咱们这边会帮您通知的哦，还请您及关注物流信息哦,2,0.9142
